,Course,name,units,profs,Overall course rate
0,15-122,Principles of Imperative Computation,10.0,"Kohlbrenner, Anne",3.86
1,15-110,Principles of Computing,10.0,"Bier, Norman",3.895
2,15-151,Mathematical Foundations for Computer Science,10.0,"Young, Michael",3.0
